source_name,year,repo_system,repo_collection_id
ipres2004,2004,phaidra,o:295028
ipres2005,2005,phaidra,o:295048
ipres2006,2006,phaidra,o:294903
ipres2007,2007,phaidra,o:294846
ipres2008,2008,phaidra,o:294193
ipres2009,2009,phaidra,o:294045
ipres2010,2010,phaidra,o:245914
ipres2011,2011,phaidra,o:294299
ipres2012,2012,phaidra,o:293685
ipres2013,2013,phaidra,o:378098
ipres2014,2014,phaidra,o:378735
ipres2015,2015,phaidra,o:429627
ipres2016,2016,phaidra,o:502812
ipres2017,2017,phaidra,o:931148
ipres2018,2018,phaidra,o:988723
ipres2019,2019,phaidra,o:1049636
