ProgramCode,Title,SubmissionDateTime,AcceptedFormat,PresentationType,CompetencyFrameworkBestMatch,ConferenceTheme,Abstract_MARKDOWN,ScispaceParaphrasedAbstract,Presenters,Authors,Co-Authors,PublicationLocation,PosterImageLocation,DOI,PresentationDate,PresentationStart,PresentationDuration,PresentationMaterials,VenueCode,SessionTitle,SessionVideoLocation,CollaborativeNotesLocation,License
indico006,"Energy, Digital Preservation, and the Climate: Proactively Planning for an Uncertain Future",2024-01-11 21:14:11.737435+00:00,Paper,Longer on-site presentations of papers,"Governance, Resourcing, and Management for DP",Scaling up,"Energy is the currency of life and the foundation for all digital preservation activities. It is energy, in the form of electricity, which allows us to write physical marks on various substrates and energy which allows us to read those marks. The industrial revolution, powered by coal and oil, supercharged our technology by greatly increasing the amount of energy available to us at only the cost of extraction. This surge of cheap energy into our civilization was what allowed us to advance our technology and develop computers and the digital realm. As we move into the middle of this century, energy will affect our ability to preserve digital materials in two critical ways. First, the age of cheap oil is coming to an end. As oil becomes more expensive to extract, less and less energy will be available. Second, the byproducts of burning fossil fuels such as carbon dioxide, methane, and nitrogen, create greenhouse gasses (GHGs) which have warmed our atmosphere and destabilized our climate. The more energy we use from fossil fuels, the more we create an inhospitable planet. In order to proactively plan for the future ahead of us, the digital preservation community needs to become aware of the risks inherent in our critical dependency on energy and enact adaptation strategies to address those threats. Methodologies, like those presented in the Decision Making Under Deep Uncertainty (DMDU) suite, provide a way of selecting strategies that are adaptive to multiple futures. While there’s no way of knowing what the future will bring, the current state of our climate guarantees that it will not be business as usual.","Energy underpins life and all digital preservation efforts, primarily through electricity. The industrial revolution, fueled by coal and oil, significantly advanced our technology due to the abundant energy it provided. However, as the era of inexpensive oil wanes, energy shortages and greenhouse gas emissions threaten our climate and digital preservation capabilities. The digital preservation community must recognize these risks and adopt adaptive strategies to navigate the uncertain future ahead, utilizing methodologies like Decision Making Under Deep Uncertainty (DMDU).",Sibyl Schaefer,Sibyl Schaefer,,https://ipres2024.pubpub.org/pub/1sm257xx/,,https://doi.org/10.21428/5676bf2d.0e7a6a0e,2024-09-19,14:00,25 minutes,https://zenodo.org/records/13787636,concerthall,The Constraints When Scaling Up Preservation Efforts,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/fac102093df84a8c93031824fad34cd95d7f83fd04574b0884545e07bee9e47f,https://docs.google.com/document/d/1lDWYct0heJztUyK5nOaDaLFRBO-Yx4PXT5URfiK3xZo/edit#heading=h.aar4tupij1po,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico008,Opening Windows: Remote Imaging as a Preservation Tool for Legacy Computers,2024-01-16 15:20:34.898375+00:00,Paper,Longer on-site presentations of papers,Information Technology for DP,Start 2 preserve,"The aim of this collaboration was to create a backup or safety copy of the media artwork ""Three Windows - Hommage à Robert Lax"" by Nicolas Humbert and Werner Penzel. This involved creating a disc image of the two SCSI hard drives installed in a Celsius Siemens 400 computer. To complement the in-house skills, the media conservation department of the Kunsthaus Zürich called upon the expertise of Tom Ensom and Robin François to benefit from their experience in disk imaging, legacy computing and Linux applications. After testing a combination of approaches and tools to image the drives, we used the Aaru Remote tool to remotely image the computer over a network connection. After backing up the hard drives, the original setup was tested and the computer was found to be functional. For the first time in 20 years this original hardware could be documented and preparations made for ensuring the longevity of the artwork. Through this interdisciplinary collaboration, we have demonstrated the use of remote disk imaging, an approach that will have wider applications in digital preservation — particularly where physical access to storage media is difficult or obsolete interfaces are present.","This collaboration aimed to create a backup of the media artwork ""Three Windows - Hommage à Robert Lax"" by Nicolas Humbert and Werner Penzel, utilizing the expertise of Tom Ensom and Robin François for disk imaging. By employing the Aaru Remote tool, we successfully backed up the original hardware, ensuring its longevity and demonstrating a valuable method for digital preservation.","Eléonore Bernard, Robin François","Eléonore Bernard, Robin François, Tom Ensom, Tony Kranz",Robin François,https://ipres2024.pubpub.org/pub/cylsieok/,,https://doi.org/10.21428/5676bf2d.f849822c,2024-09-19,13:30,25 minutes,,anatomicaltheater,Preserving Works of Art,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/43124092cfc04d7ca607958cd2803d1773a96039b77c4cf9843d5b99eb64be11,https://docs.google.com/document/d/1jkLy26qKBt6bkZjWSKhmT_SudlFGAbNIhY_DyzajT1o/edit#heading=h.aar4tupij1po,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico015,A Condition Assessment Model for Multi-variant Net Artworks,2024-02-06 14:56:29.324822+00:00,Paper,Remote presenters track,Information Management Principles,Start 2 preserve,"This paper proposes a methodology for evaluating the condition of multi-variant net artworks using Rhizome’s Emulation as a Service (EaaS) infrastructure. The proposed three-stage cyclical workflow involves: 1. The collection of evidence of the artwork’s intended performance from existing variants, literature, artist interviews, and data analysis, 2. Building reference variants in EaaS based on the evidence, and 3. The comparison of existing and reference variants’ performances and the documentation of observations in a relational database.

The condition reporting methodology developed from this research revealed a practical documentation framework for managing information regarding complex multi-variant networked digital artworks, using a relational database. This dynamic, open-ended, and cyclical workflow is consistent with the in-process nature of net art and its intrinsic focus on access and performance indicates its potential for an all-encompassing preservation approach.

A version of the database was implemented at Rhizome and is now being applied to their artwork ingestion and documentation process","This paper introduces a three-stage cyclical methodology for assessing multi-variant net artworks through Rhizome’s Emulation as a Service infrastructure, focusing on evidence collection, reference variant creation, and performance comparison. The resulting documentation framework offers a dynamic approach for managing complex digital artworks, enhancing preservation efforts within the evolving landscape of net art.",Nicole Christiane Savoy,Nicole Christiane Savoy,"Dragan Espenschied, Martina Haidvogl",https://ipres2024.pubpub.org/pub/ruud1i2r/,,https://doi.org/10.21428/5676bf2d.de20be41,2024-09-18,14:10,15 minutes,,suite,Start 2 Preserve (part 1),https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/e468e40244c34b82858b50fb7eb58232f195eb8a607a42afa3eb4938971cce8d,https://docs.google.com/document/d/1O71NsTHl1erV9cOk6ryAt_fu89P9WTLDnwbbtluYc2E/edit#heading=h.aar4tupij1po,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico019,"File Fixity in the Cloud: Policy, Business, and Technical Considerations",2024-02-06 20:10:57.504565+00:00,Paper,Longer on-site presentations of papers,Information Technology for DP,Scaling up,"The shift from storage managed on-premises into the cloud has caused many digital preservation repository managers to reevaluate their approach to guaranteeing file integrity. Most cloud storage vendors offer guarantees of file durability that call into question the need for continuous fixity checking as often performed by repositories with file servers located on-premises. At the same time, cloud vendors tend to charge fees for bringing computational resources to bear on individual files, turning continuous fixity checking into a potentially burdensome expense. With these technical and business considerations in mind, this paper explores one institution’s solution to verifying fixity in a repository of approximately seventeen million files after transition from on-site to cloud storage. It evaluates broader considerations for the field of digital preservation when considering file integrity in the cloud and concludes with an explanation of a local policy for ongoing fixity monitoring adapted to the affordances of a cloud-adapted architecture.","The transition from on-premises storage to cloud solutions has prompted digital preservation managers to rethink file integrity assurance. This paper examines one institution's strategy for verifying the integrity of approximately seventeen million files post-transition, addressing the implications for digital preservation and proposing a tailored policy for ongoing monitoring in a cloud environment.",Kyle Rimkus,"Gen Schmitt, Kyle Rimkus",,https://ipres2024.pubpub.org/pub/d3akwsah/,,https://doi.org/10.21428/5676bf2d.3d7946ac,2024-09-17,11:00,25 minutes,https://zenodo.org/records/13765461,kraakhuis,Implications of Cloud Adoption for Digital Preservation,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/fc230dda5df941daa9a88f0bbe8b23264cdaede2ed624a2f961c1a5de67d84c6,https://docs.google.com/document/d/1D_bCGeM1e4QQU8k70bQhC8X1_DBXt29StAPmeW2djmE/edit#heading=h.aar4tupij1po,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico022,Get insight in the life cycle of file formats in your repository,2024-02-14 14:31:40.292507+00:00,Workshop,Monday Workshops,Information Technology for DP,From document to data,"During this half day workshop you can bring your own data and process it with the tool created during the Dutch Digital Heritage Network project for Monitoring Obsolete File Formats. We will also provide a dataset for organisation who are not able to bring a dataset.

During iPres 2023 the project was presented. During this workshop the participants get hands-on experience and look at the results for their repository.

We don’t want to waste too much time on presenting the theory upfront. We will first have some explanation about the project and what we did, after that we can start! You bring your own data as a csv file and install Python on your laptop or in a provided environment to get started during the workshop. After your registration we send details on what the CSV file needs to contain and what needs to be installed or which environment to register for. We prefer to install it upfront, but if you don’t succeed, we will help you get started.",,"Rein van ‘t Veer, Sam Alloing, Valentijn Gilissen","Lotte Wijsman, Rein van ‘t Veer, Sam Alloing, Valentijn Gilissen",,,,,2024-09-16,11:00,3 hours,https://zenodo.org/records/13890921,loveling,,,,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico027,When Software was Sound: Exploring the forensic materiality and evidence of manufacture of microcomputer software recorded on cassette.,2024-02-24 22:45:57.530329+00:00,Paper,Longer on-site presentations of papers,Information Technology for DP,Start 2 preserve,"The need to preserve microcomputer software as part of our shared digital heritage is now recognised. This work is being undertaken within academic and cultural institutions and also by the public. Some of this heritage exists on cassette tapes upon which data is encoded as sound. Current preservation practices implicitly privilege the preservation of the bytes encoded on the tape but not necessarily the original audio signal itself. This case study of Australian educational programs recovered from 40 year old cassettes suggests that their original signals contain evidence of an atypical mastering process and in doing so exemplify Kirschenbaum’s (2008) delineation between the forensic and formal materiality of digital objects. By extending this delineation, for the first time, to software on cassette this article attests to the ongoing theoretical value of Kirschenbaum’s thesis. It further suggests that cassette software preservation practices be aligned with those of physical object conservation in which an ethical responsibility to preserve ‘evidence of manufacture’ has long been acknowledged.","The importance of preserving microcomputer software as part of our digital heritage is increasingly acknowledged, with efforts from academic, cultural institutions, and the public. This study highlights how original audio signals from 40-year-old cassette tapes can reveal unique manufacturing processes, advocating for software preservation practices to be aligned with traditional conservation ethics.",Michael Borthwick,Michael Borthwick,,https://ipres2024.pubpub.org/pub/1qbrzqr0/,,https://doi.org/10.21428/5676bf2d.e10b3896,2024-09-19,09:00,25 minutes,,concerthall,Working with Legacy Systems or Data,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/37e24c918bf84b0fad25a0836ae00456572f987242854f37936d92e33fe9f149,https://docs.google.com/document/d/185lG4aMfAMXgyb_bH06C6dzEcfuLj62A540mo_Uibos/edit#heading=h.aar4tupij1po,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico029,Traveling Light: a carry-on of essentials for development of Cornell's digital preservation program,2024-02-26 22:23:52.527508+00:00,Paper,Remote presenters track,"Governance, Resourcing, and Management for DP",Start 2 preserve,"The team behind Cornell University Library Archival Repository (CULAR) has made the conscious and deliberate decision to preference human-mediated workflows in developing its digital preservation program. This has allowed them to remain responsive to the needs of their colleagues rather than trying to fit the practices of many departments into a single monolithic system. This paper traces the evolution of Cornell’s digital preservation program, highlighting the inflection points that informed how the service developed and operates today.","The team at Cornell University Library Archival Repository (CULAR) has intentionally prioritized human-mediated workflows in their digital preservation program, allowing for greater responsiveness to colleagues' needs and shaping the service's evolution and current operations.",Dianne Dietrich,Dianne Dietrich,Michelle Paolillo,https://ipres2024.pubpub.org/pub/vvay1530/,,https://doi.org/10.21428/5676bf2d.50dda2ae,2024-09-18,13:50,15 minutes,,suite,Start 2 Preserve (part 1),https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/e468e40244c34b82858b50fb7eb58232f195eb8a607a42afa3eb4938971cce8d,https://docs.google.com/document/d/1O71NsTHl1erV9cOk6ryAt_fu89P9WTLDnwbbtluYc2E/edit#heading=h.aar4tupij1po,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico031,Where is my hoverboard? Back to the Future! A DeLorean ride to Queensland State Archives’ Digital Archive,2024-02-29 05:58:56.383159+00:00,Lightning Talk,Lightning talks,Communications and Advocacy for DP,Start 2 preserve,"Embark on a journey reminiscent of the iconic movie ""Back to the Future"" as we explore Queensland State Archives' epic saga of building a digital archive. From the humble beginnings of extracting digital legacy records to navigating the labyrinth of complex data formats and relationships, our expedition mirrors a voyage through time. Arriving at our desired destination, the launch of QSA Digital Archive, it's as if we've barely beat the clock.
Like Marty McFly's quest to alter the future, we have challenged conventional thinking, remodelled the way we engage with our agencies, reshaped transfer processes and workflows to adapt to the ever-evolving landscape of digital preservation and the needs of our users. Along the way, we have recalibrated our assumptions and questioned the very feasibility of transfers themselves, grappling with the reality of preserving our digital heritage in a rapidly changing world. 
As we reflect on our odyssey, we ponder: is this the future we envisioned when we embarked on our quest to safeguard our digital legacy, or do we fear that the legacy will become lost to the memories of future generations despite our ambitions? 
As we navigate the digital archive time machine to explore the agency landscape, are we encountering confidence and readiness to confront the challenges ahead? The digital preservation maturity of our agencies varies significantly, ranging from struggles in identifying permanent digital records to grappling with creators of large, complex datasets that exceed the capabilities of this iteration of the digital archive.
Join us as we delve into these questions and envision the path forward in preserving Queensland's digital heritage for generations to come.  By harnessing the power of technology, embracing interdisciplinary approaches, and fostering a culture of preservation, our mission is to build archives that stand the test of time.","Join us on a journey inspired by ""Back to the Future"" as we unveil the Queensland State Archives' quest to create a digital archive. Just like Marty McFly, we've redefined our approach to digital preservation to meet evolving user needs, while contemplating whether our efforts will secure our legacy for future generations. As we examine the varied readiness of our agencies to tackle these challenges, we aim to foster a culture of preservation that ensures Queensland's digital heritage endures.",Stefania Di Maria,Stefania Di Maria,,https://zenodo.org/records/13732254,,https://doi.org/10.5281/zenodo.13732254,2024-09-18,15:35,5 minutes,https://zenodo.org/records/13732254,concerthall,Evolving Preservation Strategies by Continuous Learning and Adaptation,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/b27936ff02184e1fbce3a6cbad4e50932f2972e78ce34bdf91e5c1f936647db4,https://docs.google.com/document/d/1coSQGZ5jVNK0VwwLWUyBu-JIkNkKuQH-qHnOUyj_KzA/edit#heading=h.ge8kdqo3zbiz,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico032,Significant properties of the digital authoritative record in Upper Austria,2024-02-29 12:51:52.508215+00:00,Paper,Shorter on-site presentations of papers,Metadata Standards and Implementation,Start 2 preserve,"This paper examines the significant properties of Upper Austrian digital authoritative records (‘digitaler Verwaltungsakt’) archived in an OAIS-conforming digital repository based on Records in Contexts (RiC), while especially considering legal implications pertaining to preservation planning","This study explores the key characteristics of Upper Austrian digital administrative records stored in an OAIS-compliant repository, with a focus on legal aspects related to preservation strategies.",Veronika Fuehrer,Veronika Fuehrer,,https://ipres2024.pubpub.org/pub/k96iruqm/,,https://doi.org/10.21428/5676bf2d.48d1e5f8,2024-09-18,16:00,15 minutes,,anatomicaltheater,Managing the Flow of Information from Active Systems to Archives,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/2ab4cdf39c204bddb28d6e6bb4f76afce407e1e298844e28aabaecca60f0fa85,https://docs.google.com/document/d/1dMRL3qzpezcrsdIwJp0CZMyzwMiXLHsEfODCSaxzGU0/edit#heading=h.aar4tupij1po,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico033,'Scaling up' knowledge of Digital Preservation Risk: From Concept to Reference Model and Risk Assessment with CHARM,2024-03-01 13:05:00.502662+00:00,Paper,Longer on-site presentations of papers,Information Management Principles,Scaling up,"Risk is a frequently used term in digital preservation, though the literature and solutions of the field often portray and describe risk in different ways. CHARM addresses this with a newly innovative, and comprehensive reference model and corresponding vocabulary for the digital preservation risk domain. Inspired by risk science, a signature feature of CHARM is its applied distinction between conceptual and characterized digital preservation risk. CHARM establishes a conceptual definition of digital preservation risk built around a purposeful definition of digital preservation as a goal and value-based endeavour, then deconstructs this to develop a cascading and logical series of abstract models for the whole digital preservation domain. This paper introduces the methodology though which CHARM was developed, presents and explains some of the key CHARM models, and discusses some of the methods through which CHARM can support scoped yet holistic risk identification and risk assessment exercises. This holistic, domain-level solution represents a significant 'scaling up' of our disciplinary understanding of digital preservation risk.","The term ""risk"" in digital preservation is frequently utilized, yet the literature and solutions often depict it in varied manners. CHARM offers an innovative reference model and vocabulary for digital preservation risk, emphasizing a clear distinction between conceptual and characterized risks to enhance understanding and assessment within the field.",Maureen Pennock,Maureen Pennock,,https://ipres2024.pubpub.org/pub/m5opwsm3/,,https://doi.org/10.21428/5676bf2d.7f25ec43,2024-09-18,11:30,25 minutes,,concerthall,Architecture of Digital Preservation Systems,,https://docs.google.com/document/d/1FD-lIrViKGWNpBR8inlhbkoudzx4OqY7IM5C7anGIn0/edit#heading=h.aar4tupij1po,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
